rank,score,address,neighborhood,supervisor_district,nov_count,last_nov_date,units,year_built,assessed_improvement_value,block,lot,parcel_number,lat,lng
19,52.78,1935 Franklin St,Pacific Heights,2,1,2025-11-20,42,1928,14573121,0617,003,0617003,37.792388395,-122.424778316
20,52.35,630 Alvarado St,Noe Valley,8,3,2024-10-24,27,1965,5237061,2771,059,2771059,37.753878709,-122.434969404
21,52.33,427 Stockton St,Financial District/South Beach,3,2,2026-03-23,78,1911,5225769,0285,003,0285003,37.790001323,-122.407294191
22,52.31,1301 Ingalls St,Bayview Hunters Point,10,4,2024-03-04,18,1976,3235003,4714,002,4714002,37.730374251,-122.381861879
23,52.25,949 Lombard St,Russian Hill,3,4,2025-03-19,3,1925,621671,0072,048,0072048,37.802134764,-122.417065121
24,51.97,354 Columbus Av,North Beach,3,5,2024-01-23,11,1908,168209,0146,001,0146001,37.798564905,-122.407348226
25,51.94,1629 Golden Gate Av,Western Addition,5,3,2026-04-24,2,1898,1248480,1155,032,1155032,37.778626437,-122.437376847
26,51.65,2055 Sacramento St,Pacific Heights,2,2,2024-12-17,86,1975,7911364,0640,018,0640018,37.790484376,-122.426645313
27,51.24,935 Kearny St,Chinatown,3,2,2026-06-11,9,1907,5151057,0177,001,0177001,37.796778365,-122.405592352
28,50.72,2033 Turk Bl,Lone Mountain/USF,2,4,2024-10-21,3,1915,321951,1151,031,1151031,37.778875295,-122.442589266
29,50.68,597 Castro St,Castro/Upper Market,8,3,2026-03-23,5,1900,231010,3583,056,3583056,37.759429813,-122.434555093
30,50.53,857 Clay St,Chinatown,3,3,2025-08-21,3,1913,1767528,0225,019,0225019,37.793952849,-122.407382066
31,50.44,95 Cervantes Bl,Marina,2,3,2025-06-18,15,1926,1898630,0462A,001,0462A001,37.803848513,-122.439191444
32,50.33,1020 Stockton St,Chinatown,3,2,2025-11-25,40,1907,5095986,0193,019,0193019,37.795221857,-122.407905441
33,50.02,762 Hayes St,Hayes Valley,5,3,2026-01-28,4,1900,42318,0805,014,0805014,37.776382951,-122.428957509
34,49.77,15 Nobles Al,North Beach,3,4,2024-03-14,6,1900,1038961,0104,021,0104021,37.800868704,-122.407272072
35,49.72,1201 Greenwich St,Russian Hill,3,1,2026-05-12,20,1923,10862564,0095,001,0095001,37.800882295,-122.419671626
36,49.23,300 Buchanan St,Hayes Valley,5,3,2018-08-14,60,1931,18802593,0851,013,0851013,37.772835835,-122.426967126
37,48.79,706 Jackson St,Chinatown,3,2,2025-09-02,4,1907,5105056,0178,003,0178003,37.796161089,-122.406877293
38,48.78,2238 Hyde St,Russian Hill,3,2,2025-04-24,17,1928,5796509,0071,012,0071012,37.801521511,-122.419300508
39,48.63,2602 Post St,Presidio Heights,5,3,2025-04-29,3,1900,843875,1073,007B,1073007B,37.783771087,-122.44492829
40,48.53,55 Osgood Pl,North Beach,3,3,2025-06-03,6,1900,414362,0164,022,0164022,37.798014835,-122.40314024
41,48.49,2150 Hyde St,Russian Hill,3,2,2026-04-22,10,1918,2913384,0094,018A,0094018A,37.800783845,-122.419040617
42,48.17,40 Parkridge Dr,Twin Peaks,8,3,2025-01-16,12,1966,999387,2846,011,2846011,37.751726182,-122.445331887
43,48.13,422 Broderick St,Hayes Valley,5,3,2025-04-03,6,1908,504112,1204,024,1204024,37.774231936,-122.439048418
44,47.91,1000 Chestnut St,Russian Hill,2,1,2023-11-14,84,1955,14645022,0047,002B,0047002B,37.803132827,-122.420120563
45,47.87,730 Broadway,Chinatown,3,3,2024-11-20,17,1907,1035375,0147,008A,0147008A,37.797796243,-122.409194897
